No.,Name,Price$,SuperMaretId,ImgUrl
1,Bacon: Boar's Head Extra Thick Cut,5,1,https://i.ibb.co/PDb5jcd/1.png
2,Bagels: Dave's Killer Bread Plain Awesome,6,1,https://i.ibb.co/5KRCtss/2.png
3,Healthy Cereal: Barbara's Peanut Butter Puffins,4,1,https://i.ibb.co/7nkdnwR/3.png
4,Kid's Cereal: Kashi by Kids Berry Crumble,5,1,https://i.ibb.co/2yJQ20s/4.png
5,Maple Syrup: Coombs Family Farms,25,1,https://i.ibb.co/tZLTN8k/5.png
6,Oatmeal: Bob's Red Mill Quick Cooking Rolled Oats,6,1,https://i.ibb.co/wNGJdXG/6.png
7,Pancake Mix: Birch Benders Classic Recipe,8,1,https://i.ibb.co/LJbs8Cn/7.png
8,Waffles: Vans Original,4,1,https://i.ibb.co/pRHRKh3/8.png
9,White Bread: Arnold Country White,4,1,https://i.ibb.co/b7KwM9T/9.png
10,Whole Grain Bread: Dave's Killer 21 Whole Grains And Seeds,6,1,https://i.ibb.co/7bTGm8d/10.png
11,Alfredo Sauce: Bertolli Organic Creamy Alfredo,2,1,https://i.ibb.co/BBJhX6t/11.png
12,Marinara Sauce: Rao's Homemade,7,1,https://i.ibb.co/6wSvWVH/12.png
13,Almond Butter: Once Again Creamy Roasted,21,1,https://i.ibb.co/mvxCkck/13.png
14,Balsamic Vinegar: Pompeian Organic Balsamic Vinegar Of Modena,7,1,https://i.ibb.co/60yH1c5/14.png
15,Barbecue Sauce: Sweet Baby Ray's Original,4,1,https://i.ibb.co/87PncSC/15.png
16,Balsamic Dressing: Brianna's New American Creamy Balsamic Dressing,7,1,https://i.ibb.co/hmv3gd7/16.png
17,Caesar Dressing: Cardini's Original,4,1,https://i.ibb.co/k5QtvW9/17.png
18,Ranch Dressing: Trader Joe's Organic,11,1,https://i.ibb.co/gDzL6Kz/18.png
19,Enchilada Sauce: Hatch Red Medium,2.5,1,https://i.ibb.co/Q9HX4Bc/19.png
20,French Onion Dip: Lay's,3,1,https://i.ibb.co/Lzfndx6/20.png
21,Honey: Mike's Hot Honey,9,1,https://i.ibb.co/1vDXBQ7/21.png
22,Hot Sauce: Tapatío,9,1,https://i.ibb.co/gr8YFG5/22.png
23,Relish: Woodstock Sweet Relish,4,1,https://i.ibb.co/XCbLcj5/23.png
24,Mayonnaise: Sir Kensington's Classic,4,1,https://i.ibb.co/t3h1dmF/24.png
25,Mustard: Edmond Fallot Moutarde De Dijon,6,1,https://i.ibb.co/VJM0fc3/25.png
26,Olive Oil: California Olive Ranch Extra Virgin,5,2,https://i.ibb.co/QMNfKht/26.png
27,Peanut Butter: Peanut Butter & Co. Smooth Operator,5,2,https://i.ibb.co/B3PbJkf/27.png
28,Pesto: Giovanni Rana Basil Pesto,8,2,https://i.ibb.co/pz88sVd/28.png
29,Pickles: Grillo's Pickles Italian Dill Spears,6,2,https://i.ibb.co/Y2JwwMg/29.png
30,Salsa: Green Mountain Gringo Medium,12,2,https://i.ibb.co/rcZsHb9/30.png
31,Butter: Kerrygold Salted,17,2,https://i.ibb.co/4Yx8sbK/31.png
32,Cheddar Cheese: Tillamook Sharp,6,2,https://i.ibb.co/ScB03JQ/32.png
33,Grated Parmesan Cheese: Mama Francesca Classic,12,2,https://i.ibb.co/LnVmc7x/33.png
34,Mozzarella Cheese: BelGioioso Fresh Log,6,2,https://i.ibb.co/Vp9v2ZR/34.png
35,Ricotta Cheese: Calabro Whole Milk,10,2,https://i.ibb.co/GvWGGPr/35.png
